@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2017/03/27 17:19:46:577',2,0,0,0,0,0,0,0,?,?
2,'2017/03/27 17:19:46:614',2,0,0,0,0,0,0,0,?,?
3,'2017/03/27 17:19:46:622',2,0,0,0,0,0,0,0,?,?
4,'2017/03/27 17:19:46:637',2,0,0,0,0,0,0,0,?,?
5,'2017/03/27 17:19:46:660',2,0,0,0,0,0,0,0,?,?
6,'2017/03/27 17:19:46:681',2,0,0,0,0,0,0,0,?,?
7,'2017/03/27 17:19:46:697',2,0,0,0,0,0,0,0,?,?
8,'2017/03/27 17:19:46:720',2,0,0,0,0,0,0,0,?,?
9,'2017/03/27 17:19:46:742',2,0,0,0,0,0,0,0,?,?
10,'2017/03/27 17:19:46:757',2,0,0,0,0,0,0,0,?,?
11,'2017/03/27 17:19:46:780',2,0,0,0,0,0,0,0,?,?
12,'2017/03/27 17:19:46:802',2,0,0,0,0,0,0,0,?,?
13,'2017/03/27 17:19:46:817',2,0,0,0,0,0,0,0,?,?
14,'2017/03/27 17:19:46:840',2,0,0,0,0,0,0,0,?,?
15,'2017/03/27 17:19:46:862',2,0,0,0,0,0,0,0,?,?
16,'2017/03/27 17:19:46:876',2,0,0,0,0,0,0,0,?,?
17,'2017/03/27 17:19:46:899',2,0,0,0,0,0,0,0,?,?
18,'2017/03/27 17:19:46:922',2,0,0,0,0,0,0,0,?,?
19,'2017/03/27 17:19:46:936',2,0,0,0,0,0,0,0,?,?
20,'2017/03/27 17:19:46:960',2,0,0,0,0,0,0,0,?,?
21,'2017/03/27 17:19:46:982',2,0,0,0,0,0,0,0,?,?
22,'2017/03/27 17:19:46:996',2,0,0,0,0,0,0,0,?,?
23,'2017/03/27 17:19:47:020',2,0,0,0,0,0,0,0,?,?
24,'2017/03/27 17:19:47:042',2,0,0,0,0,0,0,0,?,?
25,'2017/03/27 17:19:47:056',2,0,0,0,0,0,0,0,?,?
26,'2017/03/27 17:19:47:080',2,0,0,0,0,0,0,0,?,?
27,'2017/03/27 17:19:47:102',2,0,0,0,0,0,0,0,?,?
28,'2017/03/27 17:19:47:116',2,0,0,0,0,0,0,0,?,?
29,'2017/03/27 17:19:47:146',2,0,0,0,0,0,0,0,?,?
30,'2017/03/27 17:19:47:162',2,0,0,0,0,0,0,0,?,?
31,'2017/03/27 17:19:47:183',2,0,0,0,0,0,0,0,?,?
32,'2017/03/27 17:19:47:199',2,0,0,0,0,0,0,0,?,?
33,'2017/03/27 17:19:47:222',2,0,0,0,0,0,0,0,?,?
34,'2017/03/27 17:19:47:243',2,0,0,0,0,0,0,0,?,?
35,'2017/03/27 17:19:47:259',2,0,0,0,0,0,0,0,?,?
36,'2017/03/27 17:19:47:282',2,0,0,0,0,0,0,0,?,?
37,'2017/03/27 17:19:47:303',2,0,0,0,0,0,0,0,?,?
38,'2017/03/27 17:19:47:320',2,0,0,0,0,0,0,0,?,?
39,'2017/03/27 17:19:47:342',2,0,0,0,0,0,0,0,?,?
40,'2017/03/27 17:19:47:363',2,0,0,0,0,0,0,0,?,?
41,'2017/03/27 17:19:47:380',2,0,0,0,0,0,0,0,?,?
42,'2017/03/27 17:19:47:402',2,0,0,0,0,0,0,0,?,?
43,'2017/03/27 17:19:47:423',2,0,0,0,0,0,0,0,?,?
44,'2017/03/27 17:19:47:439',2,0,0,0,0,0,0,0,?,?
45,'2017/03/27 17:19:47:462',2,0,0,0,0,0,0,0,?,?
